year,state,avg_wg,wg_diff
1996,CT,7.3746811261207146,-0.013594265925508608
1997,CT,7.3569147943985236,-0.017766331722190998
1998,CT,7.3507967788536526,-0.0061180155448710138
1999,CT,7.3503124748628528,-0.0004843039907997948
2000,CT,7.3665912779552247,0.016278803092371952
2001,CT,7.35376930565023,-0.012821972304994489
2002,CT,7.3276057216516364,-0.026163583998593865
2003,CT,7.3277887831653867,0.00018306151375035995
2004,CT,7.313131512038999,-0.014657271126387705
1969,DC,6.9786538450570932,
1970,DC,7.0161336455305365,0.037479800473443348
1971,DC,7.0133504502880113,-0.0027831952425252382
1972,DC,7.0642715738558266,0.050921123567815307
1973,DC,7.0753951507849964,0.011123576929169765
1974,DC,7.0777844026550367,0.0023892518700403542
1975,DC,7.0952687638979555,0.017484361242918744
1976,DC,7.1444718955374471,0.049203131639491637
1977,DC,7.1303157266002568,-0.014156168937190294
1978,DC,7.1167413788568838,-0.013574347743372961
1979,DC,7.1629253300207081,0.046183951163824233
1980,DC,7.114363752802471,-0.048561577218237062
1981,DC,7.1253191700874234,0.010955417284952418
1982,DC,7.1005853158325882,-0.024733854254835208
1983,DC,7.0877786315673221,-0.0128066842652661
1984,DC,7.1169461066530131,0.029167475085690953
1985,DC,7.0886203019258307,-0.02832580472718238
1986,DC,7.1064436848277763,0.017823382901945628
1987,DC,7.0923406289387607,-0.014103055889015614
1988,DC,7.0691584603655748,-0.023182168573185891
1989,DC,7.0174251530671476,-0.051733307298427178
1990,DC,7.020092358255881,0.0026672051887333126
1991,DC,6.9832835786613083,-0.036808779594572627
1992,DC,7.0109900982703284,0.027706519609020042
1993,DC,6.9712985696764687,-0.039691528593859715
1994,DC,7.0001436364485938,0.028845066772125172
1995,DC,6.9874928968668426,-0.012650739581751225
1996,DC,7.0048840342026732,0.017391137335830642
1997,DC,7.0058481429542354,0.00096410875156216491
1998,DC,7.0135057751844005,0.0076576322301651345
1999,DC,7.0195881352525884,0.0060823600681878531
2000,DC,7.053206564492192,0.033618429239603564
2001,DC,7.0595677705707294,0.0063612060785374069
2002,DC,7.0837050067574117,0.024137236186682287
2003,DC,7.1237428229189756,0.040037816161563988
2004,DC,7.0947296610196284,-0.029013161899347217
1969,DE,7.2059355497402873,
1970,DE,7.166511255742801,-0.039424293997486259
1971,DE,7.2177996540672362,0.051288398324435214
1972,DE,7.2092583938895691,-0.0085412601776670982
1973,DE,7.27481276085612,0.065554366966551036
1974,DE,7.2420808992984362,-0.032731861557683928
